,height_x,weight_x,collegeName,Full Name,Team,Position,yearsPro,overall_rating,teamId,nflId,age
661,6-2,216,West Virginia,Kyzir White,Eagles,ROLB,4.0,79.0,13.0,46188,26.0
662,6-4,267,Washington,Will Dissly,Seahawks,TE,4.0,74.0,28.0,46189,26.0
663,5-11,192,Weber State,Taron Johnson,Bills,CB,4.0,82.0,3.0,46190,26.0
664,6-6,260,Notre Dame,Durham Smythe,Dolphins,TE,4.0,68.0,12.0,46192,27.0
665,5-9,184,Pittsburgh,Avonte Maddox,Eagles,CB,4.0,79.0,13.0,46194,26.0
666,6-2,287,North Carolina State,Kentavius Street,Saints,DT,4.0,69.0,27.0,46197,26.0
667,6-5,253,Florida State,Josh Sweat,Eagles,LE,4.0,80.0,13.0,46199,25.0
668,5-9,210,Fordham,Chase Edmonds,Dolphins,HB,4.0,79.0,12.0,46203,26.0
669,6-4,288,Stephen F. Austin,John Franklin-Myers,Jets,LE,4.0,81.0,18.0,46204,25.0
671,6-5,242,Stanford,Dalton Schultz,Cowboys,TE,4.0,82.0,11.0,46206,26.0
673,6-2,255,Purdue,Ja'Whaun Bentley,Patriots,MLB,4.0,80.0,22.0,46212,26.0
674,6-3,215,Pennsylvania,Justin Watson,Chiefs,WR,4.0,67.0,9.0,46213,27.0
675,6-3,313,Delaware,Bilal Nichols,Raiders,RE,4.0,77.0,23.0,46214,25.0
676,6-3,203,Oklahoma State,Tre Flowers,Bengals,CB,4.0,76.0,2.0,46215,27.0
677,6-0,250,Memphis,Genard Avery,Steelers,LOLB,4.0,69.0,29.0,46219,27.0
678,6-0,205,Jacksonville State,Siran Neal,Bills,CB,4.0,67.0,3.0,46223,28.0
679,6-3,310,UCLA,Scott Quessenberry,Texans,C,4.0,65.0,32.0,46224,27.0
680,6-3,254,Central Michigan,Tyler Conklin,Jets,TE,4.0,78.0,18.0,46226,27.0
681,6-1,253,Oklahoma,Ogbonnia Okoronkwo,Texans,LE,4.0,73.0,32.0,46229,27.0
682,6-3,308,Virginia Tech,Tim Settle,Bills,DT,4.0,73.0,3.0,46232,25.0
683,6-4,315,Virginia Tech,Wyatt Teller,Browns,RG,4.0,89.0,5.0,46235,27.0
684,6-1,217,Mississippi,Jordan Wilkins,Titans,HB,4.0,68.0,30.0,46238,28.0
685,6-4,207,South Florida,Marquez Valdes-Scantling,Chiefs,WR,4.0,76.0,9.0,46243,27.0
686,6-4,318,Connecticut,Folorunso Fatukasi,Jaguars,DT,4.0,80.0,17.0,46249,27.0
687,6-0,208,Florida,Marcell Harris,Jets,ROLB,4.0,66.0,18.0,46253,28.0
690,6-1,210,Texas,DeShon Elliott,Lions,SS,4.0,78.0,19.0,46259,25.0
693,6-2,215,Yale,Foyesade Oluokun,Jaguars,MLB,4.0,80.0,17.0,46269,27.0
694,5-6,203,Louisiana Tech,Boston Scott,Eagles,HB,4.0,75.0,13.0,46270,27.0
695,6-7,332,Texas Christian,Matt Pryor,Colts,LT,4.0,69.0,10.0,46275,27.0
696,6-5,214,Notre Dame,Equanimeous St. Brown,Bears,WR,4.0,68.0,1.0,46276,25.0
697,6-5,188,Boise State,Cedrick Wilson,Dolphins,WR,4.0,75.0,12.0,46277,26.0
698,6-0,185,Southern Mississippi,Cornell Armstrong,Falcons,CB,4.0,63.0,14.0,46278,26.0
699,5-9,190,Miami,Braxton Berrios,Jets,WR,4.0,75.0,18.0,46279,26.0
700,6-5,331,Appalachian State,Colby Gossett,Falcons,RG,5.0,64.0,14.0,46282,27.0
701,6-5,317,Alabama,Bradley Bozeman,Panthers,C,4.0,74.0,21.0,46284,27.0
702,6-0,229,Houston,Matthew Adams,Bears,LOLB,4.0,68.0,1.0,46290,26.0
703,6-2,221,Georgia,Javon Wims,Browns,WR,4.0,69.0,5.0,46293,27.0
704,6-8,344,No College,Jordan Mailata,Eagles,LT,4.0,84.0,13.0,46302,25.0
705,6-0,236,Syracuse,Zaire Franklin,Colts,ROLB,4.0,66.0,10.0,46304,26.0
706,6-6,290,Ferris State,Zach Sieler,Dolphins,LE,4.0,73.0,12.0,46307,26.0
708,5-10,185,Western Carolina,Keion Crossen,Dolphins,CB,4.0,72.0,12.0,46312,26.0
709,6-5,311,Louisiana State,Will Clapp,Chargers,C,4.0,59.0,8.0,46314,25.0
711,5-9,190,Southern U.,Danny Johnson,Commanders,CB,4.0,68.0,26.0,46329,26.0
712,6-5,240,San Diego,Ross Dwelley,49ers,TE,4.0,64.0,15.0,46331,27.0
713,6-3,316,San Jose State,Jeremiah Kolone,Rams,LG,4.0,56.0,24.0,46338,27.0
714,6-1,202,Central Arkansas,George Odum,49ers,FS,4.0,71.0,15.0,46349,28.0
715,5-11,184,Tennessee,Emmanuel Moseley,49ers,CB,4.0,76.0,15.0,46354,26.0
716,6-5,214,Alabama,Cam Sims,Commanders,WR,4.0,71.0,26.0,46362,26.0
717,5-8,190,Colorado,Phillip Lindsay,Colts,HB,4.0,72.0,10.0,46367,28.0
718,6-5,285,Washington,Coleman Shelton,Rams,C,3.0,53.0,24.0,46376,27.0
720,6-0,202,Mississippi State,J.T. Gray,Saints,FS,4.0,63.0,27.0,46378,26.0
721,6-3,295,Tennessee,Kendal Vickers,Raiders,LE,4.0,61.0,23.0,46387,27.0
722,6-2,295,Alabama,J.C. Hassenauer,Steelers,C,4.0,61.0,29.0,46404,26.0
723,5-10,190,South Carolina,Chris Lammons,Chiefs,CB,5.0,61.0,9.0,46407,26.0
724,6-1,238,Rutgers,Gus Edwards,Ravens,HB,4.0,78.0,25.0,46437,27.0
725,6-4,250,Youngstown State,Kevin Rader,Steelers,TE,2.0,57.0,29.0,46446,27.0
726,5-9,187,Alabama-Birmingham,Darious Williams,Jaguars,CB,4.0,82.0,17.0,46456,29.0
727,6-1,248,Toledo,Olasunkanmi Adeniyi,Titans,LOLB,4.0,69.0,30.0,46457,24.0
728,5-10,205,Cincinnati,Mike Boone,Broncos,HB,4.0,67.0,4.0,46461,27.0
729,5-11,310,Texas,Poona Ford,Seahawks,RE,4.0,76.0,28.0,46487,26.0
730,5-11,193,Northern Iowa,Elijah Campbell,Dolphins,CB,4.0,60.0,12.0,46501,27.0
731,6-3,300,Washington State,Daniel Ekuale,Patriots,RE,4.0,60.0,22.0,46504,28.0
732,5-11,202,Tulane,Dontrell Hilliard,Titans,HB,4.0,69.0,30.0,46506,27.0
733,6-2,233,Iowa,Ben Niemann,Cardinals,MLB,4.0,67.0,7.0,46521,27.0
734,6-1,205,Kansas State,Byron Pringle,Bears,WR,4.0,75.0,1.0,46522,28.0
735,5-11,224,Louisiana State,Darrel Williams,Cardinals,HB,4.0,74.0,7.0,46526,27.0
736,6-3,235,Washington State,Frankie Luvu,Panthers,LOLB,4.0,71.0,21.0,46527,25.0
737,6-3,210,Temple,Keith Kirkwood,Panthers,WR,4.0,66.0,21.0,46542,27.0
738,6-4,280,Oregon,Henry Mondeaux,Steelers,RE,3.0,64.0,29.0,46543,26.0
739,6-2,305,South Carolina,Taylor Stallworth,Chiefs,DT,4.0,67.0,9.0,46618,27.0
740,6-5,307,Nebraska,Nick Gates,Giants,C,4.0,68.0,16.0,46629,26.0
741,5-10,185,Utah State,Jalen Davis,Bengals,CB,4.0,63.0,2.0,46630,26.0
742,5-11,205,South Alabama,Jeremy Reaves,Commanders,FS,4.0,65.0,26.0,46649,26.0
743,5-11,189,Georgia State,Chandon Sullivan,Vikings,CB,4.0,75.0,31.0,46652,26.0
744,6-0,232,Sioux Falls,Dennis Gardeck,Cardinals,ROLB,4.0,73.0,7.0,46657,28.0
745,5-11,210,Missouri Western,Jonathan Owens,Texans,FS,3.0,67.0,32.0,46669,27.0
746,6-1,219,Vanderbilt,Trent Sherfield,Dolphins,WR,4.0,68.0,12.0,46671,26.0
747,5-10,205,Ferris State,Tavierre Thomas,Texans,CB,4.0,74.0,32.0,46672,26.0
748,6-2,214,Washington,Ezekiel Turner,Cardinals,MLB,4.0,56.0,7.0,46674,26.0
749,6-2,302,Southern Methodist,Evan Brown,Lions,C,4.0,66.0,19.0,46679,25.0
750,5-10,205,Temple,Sean Chandler,Panthers,FS,4.0,66.0,21.0,46680,26.0
751,5-9,190,Penn State,Grant Haley,Rams,CB,4.0,72.0,24.0,46686,26.0
752,6-0,179,Alabama,Levi Wallace,Steelers,CB,4.0,77.0,29.0,46698,27.0
753,6-1,193,Miami,Dee Delaney,Buccaneers,CB,4.0,63.0,6.0,46699,27.0
754,5-11,185,Vanderbilt,Tre Herndon,Jaguars,CB,4.0,73.0,17.0,46700,26.0
755,6-5,227,Iowa State,Allen Lazard,Packers,WR,4.0,77.0,20.0,46705,26.0
756,6-5,311,Miami,KC McDermott,Jaguars,LG,4.0,57.0,17.0,46706,26.0
757,6-3,200,Southern Illinois,Ryan Neal,Seahawks,SS,4.0,68.0,28.0,46711,26.0
758,6-2,197,Virginia Tech,Brandon Facyson,Colts,CB,4.0,70.0,10.0,46729,27.0
760,6-1,195,Middle Tennessee,Charvarius Ward,49ers,CB,4.0,80.0,15.0,46757,26.0
763,6-4,272,Buffalo,Demone Harris,Texans,RE,4.0,62.0,32.0,46796,26.0
765,6-0,196,Southeast Missouri,Mike Ford,Falcons,CB,4.0,71.0,14.0,46823,27.0
766,5-8,189,Florida,Brandon Powell,Rams,WR,4.0,66.0,24.0,46830,26.0
767,6-5,290,UCLA,Matt Dickerson,Cardinals,DT,4.0,63.0,7.0,46841,26.0
769,6-1,229,Western Michigan,Robert Spillane,Steelers,MLB,4.0,70.0,29.0,46902,26.0
770,6-2,230,North Dakota State,Chris Board,Lions,MLB,4.0,66.0,19.0,46958,27.0
771,6-2,205,Prairie View,KhaDarel Hodge,Falcons,WR,4.0,69.0,14.0,46992,27.0
772,6-2,200,Illinois,Malik Turner,49ers,WR,4.0,71.0,15.0,46998,26.0
773,5-10,208,South Florida,D'Ernest Johnson,Browns,HB,3.0,73.0,5.0,47605,26.0
774,6-3,255,Tennessee,Jakob Johnson,Raiders,FB,3.0,66.0,23.0,47749,27.0
775,5-10,207,Oklahoma,Kyler Murray,Cardinals,QB,3.0,84.0,7.0,47784,25.0
776,6-4,266,Ohio State,Nick Bosa,49ers,RE,3.0,94.0,15.0,47785,24.0
777,6-3,303,Alabama,Quinnen Williams,Jets,DT,3.0,86.0,18.0,47786,24.0
778,6-4,265,Clemson,Clelin Ferrell,Raiders,ROLB,3.0,72.0,23.0,47787,25.0
779,6-0,237,Louisiana State,Devin White,Buccaneers,MLB,3.0,85.0,6.0,47788,24.0
780,6-5,220,Duke,Daniel Jones,Giants,QB,3.0,70.0,16.0,47789,25.0
781,6-5,262,Kentucky,Josh Allen,Bills,QB,4.0,92.0,3.0,47790,26.0
782,6-5,262,Kentucky,Josh Allen,Jaguars,ROLB,3.0,85.0,17.0,47790,25.0
783,6-5,248,Iowa,T.J. Hockenson,Lions,TE,3.0,89.0,19.0,47791,25.0
784,6-1,287,Houston,Ed Oliver,Bills,DT,3.0,81.0,3.0,47792,24.0
785,5-11,233,Michigan,Devin Bush,Steelers,MLB,3.0,77.0,29.0,47793,24.0
786,6-4,305,Alabama,Jonah Williams,Bengals,LT,3.0,78.0,2.0,47794,24.0
787,6-4,305,Alabama,Jonah Williams,Rams,RE,2.0,65.0,24.0,47794,27.0
788,6-5,277,Michigan,Rashan Gary,Packers,LOLB,3.0,89.0,20.0,47795,24.0
789,6-4,315,Clemson,Christian Wilkins,Dolphins,RE,3.0,78.0,12.0,47796,26.0
790,6-4,307,Boston College,Chris Lindstrom,Falcons,RG,3.0,84.0,14.0,47797,25.0
791,6-5,250,Florida State,Brian Burns,Panthers,LE,3.0,86.0,21.0,47799,24.0
793,6-3,305,North Carolina State,Garrett Bradbury,Vikings,C,3.0,74.0,31.0,47801,27.0
794,6-4,300,Mississippi State,Jeffery Simmons,Titans,RE,3.0,88.0,30.0,47802,25.0
795,6-4,249,Iowa,Noah Fant,Seahawks,TE,3.0,82.0,28.0,47803,24.0
796,5-11,200,Maryland,Darnell Savage,Packers,FS,3.0,79.0,20.0,47804,25.0
797,6-5,315,Washington State,Andre Dillard,Eagles,LT,3.0,73.0,13.0,47805,26.0
798,6-5,322,Alabama State,Tytus Howard,Texans,RT,3.0,71.0,32.0,47806,26.0
799,5-10,220,Alabama,Josh Jacobs,Raiders,HB,3.0,87.0,23.0,47807,24.0
800,5-9,170,Oklahoma,Marquise Brown,Cardinals,WR,3.0,84.0,7.0,47808,25.0
801,6-6,262,Mississippi State,Montez Sweat,Commanders,RE,3.0,80.0,26.0,47809,25.0
802,6-0,205,Mississippi State,Johnathan Abram,Raiders,SS,3.0,78.0,23.0,47810,25.0
803,6-6,295,Notre Dame,Jerry Tillery,Chargers,RE,3.0,71.0,8.0,47811,25.0
804,6-2,291,Texas Christian,L.J. Collier,Seahawks,ROLB,3.0,67.0,28.0,47812,26.0
805,6-6,306,Washington,Kaleb McGary,Falcons,RT,3.0,71.0,14.0,47814,27.0
806,6-4,225,Arizona State,N'Keal Harry,Patriots,WR,3.0,72.0,22.0,47815,24.0
808,6-0,190,Temple,Rock Ya-Sin,Raiders,CB,3.0,80.0,23.0,47817,26.0
809,6-5,312,Florida,Jawaan Taylor,Jaguars,RT,3.0,71.0,17.0,47818,24.0
810,5-11,214,South Carolina,Deebo Samuel,49ers,WR,3.0,89.0,15.0,47819,26.0
811,6-5,310,Mississippi,Greg Little,Dolphins,LT,3.0,67.0,12.0,47820,24.0
812,6-3,329,Oklahoma,Cody Ford,Bills,RG,3.0,70.0,3.0,47821,25.0
813,6-0,195,Central Michigan,Sean Murphy-Bunting,Buccaneers,CB,3.0,79.0,6.0,47822,25.0
815,6-5,312,Kansas State,Dalton Risner,Broncos,LG,3.0,78.0,4.0,47824,27.0
816,6-2,250,Hawaii,Jahlani Tavai,Patriots,MLB,3.0,70.0,22.0,47826,25.0
817,6-5,310,Mississippi State,Elgton Jenkins,Packers,RT,3.0,85.0,20.0,47827,26.0
818,6-2,184,Louisiana State,Greedy Williams,Browns,CB,3.0,76.0,5.0,47829,24.0
819,6-2,195,Utah,Marquise Blair,Seahawks,FS,3.0,72.0,28.0,47830,25.0
820,6-4,315,Texas A&amp;M,Erik McCoy,Saints,C,3.0,79.0,27.0,47831,25.0
821,6-3,252,Texas Christian,Ben Banogu,Colts,LE,3.0,69.0,10.0,47832,26.0
823,6-0,226,Mississippi,A.J. Brown,Eagles,WR,3.0,87.0,13.0,47834,25.0
824,6-4,259,Washington,Drew Sample,Bengals,TE,3.0,69.0,2.0,47835,26.0
825,5-11,211,Penn State,Miles Sanders,Eagles,HB,3.0,82.0,13.0,47836,25.0
827,6-6,325,Northern Illinois,Max Scharping,Texans,RG,3.0,68.0,32.0,47838,26.0
828,5-10,187,Georgia,Mecole Hardman,Chiefs,WR,3.0,79.0,9.0,47839,24.0
829,6-3,308,Central Florida,Trysten Hill,Cowboys,DT,3.0,72.0,11.0,47841,24.0
830,6-0,205,Ohio State,Parris Campbell,Colts,WR,3.0,75.0,10.0,47842,25.0
831,6-0,206,Delaware,Nasir Adderley,Chargers,FS,3.0,75.0,8.0,47843,25.0
832,6-0,208,Washington,Taylor Rapp,Rams,FS,3.0,76.0,24.0,47844,24.0
833,5-9,190,Massachusetts,Andy Isabella,Cardinals,WR,3.0,70.0,7.0,47845,25.0
834,6-0,205,Virginia,Juan Thornhill,Chiefs,FS,3.0,77.0,9.0,47846,26.0
836,6-4,281,Boston College,Zach Allen,Cardinals,RE,3.0,72.0,7.0,47848,25.0
837,5-10,181,Toledo,Diontae Johnson,Steelers,WR,3.0,85.0,29.0,47849,26.0
838,6-5,250,San Jose State,Josh Oliver,Ravens,TE,3.0,66.0,25.0,47852,25.0
840,6-3,281,Ohio State,Dre'Mont Jones,Broncos,LE,3.0,75.0,4.0,47854,25.0
841,6-2,245,North Carolina State,Germaine Pratt,Bengals,MLB,3.0,74.0,2.0,47855,26.0
842,5-10,222,Iowa State,David Montgomery,Bears,HB,3.0,84.0,1.0,47856,25.0
843,5-7,203,Florida Atlantic,Devin Singletary,Bills,HB,3.0,81.0,3.0,47857,24.0
844,6-0,210,Ohio State,Terry McLaurin,Commanders,WR,3.0,91.0,26.0,47859,25.0
845,6-3,251,Michigan,Chase Winovich,Browns,LE,3.0,73.0,5.0,47860,27.0
847,6-1,238,Brigham Young,Sione Takitaki,Browns,LOLB,3.0,70.0,5.0,47863,26.0
848,6-1,207,Boston College,Will Harris,Lions,SS,3.0,69.0,19.0,47864,26.0
849,6-3,316,North Carolina-Charlotte,Nate Davis,Titans,RG,3.0,77.0,30.0,47865,25.0
850,6-2,192,Michigan State,Justin Layne,Steelers,CB,3.0,70.0,29.0,47866,24.0
851,6-0,324,Western Illinois,Khalen Saunders,Chiefs,DT,3.0,70.0,9.0,47867,26.0
852,5-11,215,Alabama,Damien Harris,Patriots,HB,3.0,82.0,22.0,47870,25.0
853,6-2,237,Utah,Cody Barton,Seahawks,MLB,3.0,71.0,28.0,47871,25.0
854,6-1,234,Stanford,Bobby Okereke,Colts,MLB,3.0,81.0,10.0,47872,26.0
855,6-5,308,Penn State,Connor McGovern,Jets,C,6.0,77.0,18.0,47873,29.0
856,6-5,308,Penn State,Connor McGovern,Cowboys,LG,3.0,66.0,11.0,47873,24.0
858,6-4,220,Notre Dame,Miles Boykin,Steelers,WR,3.0,71.0,29.0,47876,25.0
859,6-1,206,Auburn,Jamel Dean,Buccaneers,CB,3.0,82.0,6.0,47877,25.0
860,6-4,250,Old Dominion,Oshane Ximines,Giants,ROLB,3.0,70.0,16.0,47878,25.0
861,6-4,254,Mississippi,Dawson Knox,Bills,TE,3.0,83.0,3.0,47879,25.0
863,5-11,226,Murray State,Quincy Williams,Jets,LOLB,3.0,72.0,18.0,47881,26.0
864,5-10,200,Kentucky,Mike Edwards,Buccaneers,FS,3.0,77.0,6.0,47882,26.0
865,6-5,310,West Virginia,Yodny Cajuste,Patriots,RT,3.0,61.0,22.0,47884,26.0
866,5-11,220,Boise State,Alexander Mattison,Vikings,HB,3.0,77.0,31.0,47885,24.0
868,6-5,255,Eastern Michigan,Maxx Crosby,Raiders,LOLB,3.0,87.0,23.0,47889,25.0
869,6-7,272,Iowa,Anthony Nelson,Buccaneers,LOLB,3.0,69.0,6.0,47890,25.0
870,5-11,193,Notre Dame,Julian Love,Giants,SS,3.0,76.0,16.0,47891,24.0
871,5-10,200,Oklahoma State,Justice Hill,Ravens,HB,3.0,72.0,25.0,47896,24.0
872,5-11,210,Iowa,Amani Hooker,Titans,SS,3.0,81.0,30.0,47899,24.0
873,6-6,261,Clemson,Austin Bryant,Lions,LOLB,3.0,66.0,19.0,47900,25.0
874,6-5,310,Arkansas,Hjalte Froholdt,Browns,RG,3.0,62.0,5.0,47901,26.0
875,6-3,267,West Virginia,Trevon Wesco,Jets,TE,3.0,64.0,18.0,47904,26.0
876,6-4,310,Oklahoma,Ben Powers,Ravens,LG,3.0,69.0,25.0,47906,25.0
877,6-4,322,Wake Forest,Phil Haynes,Seahawks,RG,3.0,66.0,28.0,47907,26.0
878,6-0,209,Memphis,Tony Pollard,Cowboys,HB,3.0,81.0,11.0,47911,25.0
879,6-2,234,Notre Dame,Drue Tranquill,Chargers,MLB,3.0,77.0,8.0,47913,27.0
881,6-3,214,Auburn,Jarrett Stidham,Raiders,QB,3.0,57.0,23.0,47916,26.0
882,6-1,312,Washington,Greg Gaines,Rams,DT,3.0,77.0,24.0,47917,26.0
883,6-5,285,"Charleston, W. Va.",John Cominsky,Lions,LE,3.0,68.0,19.0,47918,26.0
884,6-4,250,Louisiana State,Foster Moreau,Raiders,TE,3.0,73.0,23.0,47920,25.0
885,6-1,196,Alabama,Deionte Thompson,Cardinals,FS,3.0,71.0,7.0,47922,25.0
886,6-8,265,Michigan,Zach Gentry,Steelers,TE,3.0,65.0,29.0,47924,25.0
887,6-2,203,Penn State,Amani Oruwariye,Lions,CB,3.0,77.0,19.0,47929,26.0
888,6-0,225,Arkansas,Dre Greenlaw,49ers,ROLB,3.0,78.0,15.0,47931,25.0
889,5-10,185,Clemson,Hunter Renfrow,Raiders,WR,3.0,85.0,23.0,47932,26.0
890,6-4,242,Wisconsin,Andrew Van Ginkel,Dolphins,LOLB,3.0,77.0,12.0,47934,27.0
892,6-5,248,Oregon,Justin Hollins,Rams,ROLB,3.0,72.0,24.0,47939,26.0
893,6-1,235,Minnesota,Blake Cashman,Texans,ROLB,3.0,72.0,32.0,47940,26.0
895,6-3,300,Maryland,Byron Cowart,Patriots,RE,3.0,63.0,22.0,47942,25.0
896,6-5,280,Texas,Charles Omenihu,49ers,LE,3.0,71.0,15.0,47944,25.0
897,6-4,230,Tarleton State,E.J. Speed,Colts,LOLB,3.0,63.0,10.0,47947,27.0
898,6-6,308,Wisconsin,David Edwards,Rams,LG,3.0,75.0,24.0,47952,25.0
899,6-1,190,Auburn,Darius Slayton,Giants,WR,3.0,77.0,16.0,47954,25.0
900,6-1,240,North Carolina,Cole Holcomb,Commanders,ROLB,3.0,79.0,26.0,47956,26.0
902,5-10,190,Miami,Jaquan Johnson,Bills,FS,3.0,68.0,3.0,47964,26.0
903,5-10,210,Maryland,Ty Johnson,Jets,HB,3.0,70.0,18.0,47969,24.0
904,6-3,215,Colorado,Juwann Winfree,Packers,WR,3.0,67.0,20.0,47970,25.0
906,6-5,295,Arkansas,Armon Watts,Vikings,RE,3.0,70.0,31.0,47973,26.0
907,6-0,191,Wyoming,Marcus Epps,Eagles,FS,3.0,73.0,13.0,47974,26.0
909,6-5,323,Elon,Olisaemeka Udoh,Vikings,RG,3.0,66.0,31.0,47976,25.0
910,6-0,202,Penn State,Trace McSorley,Cardinals,QB,3.0,55.0,7.0,47980,27.0
911,5-11,188,South Carolina,Rashad Fenton,Chiefs,CB,3.0,78.0,9.0,47984,25.0
912,5-10,202,Miami,Travis Homer,Seahawks,HB,3.0,67.0,28.0,47987,24.0
914,6-6,324,South Carolina,Dennis Daley,Panthers,LT,3.0,65.0,21.0,47995,26.0
915,6-0,204,Texas A&amp;M,Donovan Wilson,Cowboys,FS,3.0,75.0,11.0,47996,27.0
916,6-4,320,Illinois,Nick Allegretti,Chiefs,LG,3.0,63.0,9.0,47999,26.0
917,5-11,201,Texas,Kris Boyd,Vikings,CB,3.0,68.0,31.0,48000,25.0
919,6-5,251,Boston College,Tommy Sweeney,Bills,TE,3.0,64.0,3.0,48011,27.0
920,6-4,253,Prairie View,Quinton Bell,Falcons,ROLB,4.0,60.0,14.0,48013,26.0
921,5-10,200,Washington,Myles Gaskin,Dolphins,HB,3.0,74.0,12.0,48017,25.0
922,6-7,302,Utah,Jackson Barton,Raiders,LT,3.0,55.0,23.0,48023,27.0
923,5-11,200,Penn State,Nick Scott,Rams,FS,3.0,72.0,24.0,48026,27.0
924,6-3,240,Idaho,Kaden Elliss,Saints,LOLB,3.0,66.0,27.0,48027,27.0
925,6-3,284,Temple,Michael Dogbe,Cardinals,RE,3.0,66.0,7.0,48032,26.0
926,5-10,176,Kansas,Steven Sims,Steelers,WR,3.0,69.0,29.0,48051,25.0
927,6-7,326,Florida,Fred Johnson,Buccaneers,LT,3.0,60.0,6.0,48085,25.0
928,6-2,235,Nevada,Malik Reed,Broncos,ROLB,3.0,73.0,4.0,48089,26.0
929,6-2,200,Boise State,Brett Rypien,Broncos,QB,4.0,58.0,4.0,48090,26.0
930,6-5,300,Texas,Calvin Anderson,Broncos,RT,3.0,58.0,4.0,48094,26.0
931,6-3,255,Texas,Andrew Beck,Broncos,FB,3.0,68.0,4.0,48096,26.0
932,6-2,200,North Carolina State,Jakobi Meyers,Patriots,WR,3.0,80.0,22.0,48097,25.0
933,6-2,209,Arizona,Demetrius Flannigan-Fowles,49ers,LOLB,3.0,62.0,15.0,48117,25.0
934,6-1,215,Malone,Ashton Dulin,Colts,WR,3.0,71.0,10.0,48118,25.0
935,5-8,180,Georgia State,Penny Hart,Seahawks,WR,2.0,66.0,28.0,48119,26.0
936,6-1,285,Penn State,Kevin Givens,49ers,DT,3.0,67.0,15.0,48123,25.0
937,6-3,255,Boston College,Wyatt Ray,Jaguars,LOLB,4.0,60.0,17.0,48145,25.0
938,6-5,314,Notre Dame,Alex Bars,Raiders,LG,3.0,62.0,23.0,48158,26.0
939,6-2,311,Notre Dame,Sam Mustipher,Bears,C,3.0,65.0,1.0,48159,26.0
940,6-5,295,Lindenwood,Jonathan Harris,Broncos,LE,3.0,60.0,4.0,48170,26.0
942,6-3,366,Michigan,Bryan Mone,Seahawks,DT,3.0,65.0,28.0,48198,26.0
943,6-0,233,Vanderbilt,Khari Blasingame,Bears,FB,3.0,72.0,1.0,48207,26.0
944,6-4,308,California,Patrick Mekari,Ravens,LT,3.0,72.0,25.0,48220,25.0
947,6-1,242,Wisconsin,Alec Ingold,Dolphins,FB,3.0,76.0,12.0,48233,26.0
948,6-4,300,UCLA,Andre James,Raiders,C,3.0,70.0,23.0,48235,25.0
949,5-10,200,South Carolina,Keisean Nixon,Packers,CB,3.0,63.0,20.0,48241,25.0
950,6-2,238,Middle Tennessee,Darius Harris,Chiefs,ROLB,2.0,65.0,9.0,48259,26.0
951,6-2,228,Florida Atlantic,Azeez Al-Shaair,49ers,LOLB,3.0,73.0,15.0,48268,25.0
954,6-0,225,Nebraska,Devine Ozigbo,Saints,HB,3.0,63.0,27.0,48318,25.0
955,5-8,193,Virginia,Olamide Zaccheaus,Falcons,WR,3.0,70.0,14.0,48374,25.0
956,5-6,170,Assumption,Deonte Harty,Saints,WR,3.0,77.0,27.0,48415,24.0
957,5-10,202,Texas,P.J. Locke,Broncos,SS,3.0,63.0,4.0,48447,25.0
958,5-11,195,Mississippi,C.J. Moore,Lions,FS,3.0,63.0,19.0,48454,26.0
959,6-7,299,Iowa,Matt Nelson,Lions,LT,3.0,55.0,19.0,48455,26.0
962,6-4,285,Texas-San Antonio,Kevin Strong,Titans,LE,3.0,61.0,30.0,48462,26.0
963,6-2,207,Stanford,Trenton Irwin,Bengals,WR,2.0,63.0,2.0,48471,26.0
964,6-4,280,Georgia,Jonathan Ledbetter,Cardinals,RE,3.0,62.0,7.0,48473,24.0
965,6-5,255,Temple,Chris Myarick,Giants,TE,2.0,58.0,16.0,48475,26.0
966,6-0,193,Texas-El Paso,Nik Needham,Dolphins,CB,3.0,75.0,12.0,48476,25.0
967,6-0,237,Texas A&amp;M,Tyrel Dodson,Bills,MLB,3.0,63.0,3.0,48482,24.0
968,6-5,310,Northwestern,Blake Hance,Browns,LT,2.0,64.0,5.0,48485,26.0
972,6-1,200,Alabama,Saivion Smith,Lions,CB,3.0,59.0,19.0,48500,24.0
973,6-0,209,Wyoming,Andrew Wingard,Jaguars,SS,3.0,73.0,17.0,48508,25.0
974,6-4,300,Penn State,Ryan Bates,Bills,RG,3.0,71.0,3.0,48512,25.0
975,6-4,334,Stanford,Nate Herbig,Jets,RG,3.0,64.0,18.0,48513,24.0
977,6-1,240,Wisconsin,T.J. Edwards,Eagles,MLB,3.0,79.0,13.0,48516,26.0
978,6-5,350,Alabama-Birmingham,Anthony Rush,Falcons,DT,3.0,64.0,14.0,48520,26.0
980,6-5,261,Wyoming,Carl Granderson,Saints,LE,3.0,68.0,27.0,48537,25.0
981,6-4,225,Texas,Lil'Jordan Humphrey,Patriots,WR,3.0,66.0,22.0,48541,24.0
982,6-3,300,Tennessee,Shy Tuttle,Saints,DT,3.0,71.0,27.0,48544,26.0
983,6-3,245,Nebraska,Luke Gifford,Cowboys,LOLB,3.0,64.0,11.0,48555,27.0
984,6-1,212,North Texas,Jalen Guyton,Chargers,WR,3.0,73.0,8.0,48556,25.0
985,6-3,279,Kansas,Daniel Wise,Commanders,RE,4.0,61.0,26.0,48566,26.0
990,6-1,193,Oklahoma State,Tyron Johnson,Raiders,WR,3.0,70.0,23.0,48601,26.0
